,,,,,,,,,,,MacNeil et al. ,,In review paper from Ivor,Ivor most recent,,,,,,,,,
spp,SPECIES,FAMILY,family,COMMONFAMILYALL,TROPHIC_MONREP,A2_guild,TOPHIC_MONREP,size,habitat,Included,fg,EDITED,A2_fg,Ivor_F1,Ivor_F2,A2_size,A2_schooling,Ivor_guild,criteria,,,,
Rastrelliger kanagurta,NA,NA,Scombridae,NA,NA,NA,NA,38,Pelagic,0,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Rhinecanthus cinereus,NA,NA,Balistidae,NA,NA,NA,NA,16.5,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Rypticus saponaceus,NA,NA,Serranidae,NA,NA,NA,NA,35,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Sanopus greenfieldorum,NA,NA,Batrachoididae,NA,NA,NA,NA,35,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Sargocentron bullisi,NA,NA,Holocentridae,NA,NA,NA,NA,13,Nocturnal,0,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Sargocentron vexillarium,NA,NA,Holocentridae,NA,NA,NA,NA,18,Nocturnal,0,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Sargocentron wilhelmi,NA,NA,Holocentridae,NA,NA,NA,NA,19.5,Nocturnal,0,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Sargocentrun corsuscum,NA,NA,Holocentridae,NA,NA,NA,NA,15,Nocturnal,0,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Scarus altrilunula,NA,NA,Scaridae,NA,NA,NA,NA,60,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Scarus caudofasciatus,NA,NA,Scaridae,NA,NA,NA,NA,50,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Scarus chameleon,NA,NA,Scaridae,NA,NA,NA,NA,31,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Scarus coelestinus,NA,NA,Scaridae,NA,NA,NA,NA,77,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Scarus coeruleus,NA,NA,Scaridae,NA,NA,NA,NA,120,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Scarus falcipinnis,NA,NA,Scaridae,NA,NA,NA,NA,60,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Scarus flavipectoralis,NA,NA,Scaridae,NA,NA,NA,Herb,40,Reef,1,Excavator/scraper,,NA,SSE,SSE,NA,NA,H,0,,,,
Scarus guacamaia,NA,NA,Scaridae,NA,NA,NA,NA,120,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Scarus iserti,NA,NA,Scaridae,NA,NA,NA,NA,35,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Scarus japanensis,NA,NA,Scaridae,NA,NA,NA,NA,31,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Scarus longipinnis,NA,NA,Scaridae,NA,NA,NA,NA,40,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Scarus prasiognathos,NA,NA,Scaridae,NA,NA,NA,NA,70,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Scarus rivulatus,NA,NA,Scaridae,NA,NA,NA,Herb,40,Reef,1,Excavator/scraper,,NA,SSE,SSE,NA,NA,H,0,,,,
Scarus scaber,NA,NA,Scaridae,NA,NA,NA,NA,37,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Scarus taeniopterus,NA,NA,Scaridae,NA,NA,NA,NA,35,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Scarus vetula,NA,NA,Scaridae,NA,NA,NA,NA,61,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Scarus viridifucatus,NA,NA,Scaridae,NA,NA,NA,NA,45,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Scolopsis bilineata,NA,NA,Nemipteridae,NA,NA,NA,NA,25,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Scolopsis bilineata,NA,NA,Nemipteridae,NA,NA,NA,NA,25,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Scolopsis ciliata,NA,NA,Nemipteridae,NA,NA,NA,NA,25,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Scolopsis frenatus,NA,NA,Nemipteridae,NA,NA,NA,NA,26,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Scolopsis margaritifera,NA,NA,Nemipteridae,NA,NA,NA,NA,28,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Scolopsis trilineatus,NA,NA,Nemipteridae,NA,NA,NA,NA,26,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Scomberomorus commerson,NA,NA,Scombridae,NA,NA,NA,NA,240,Pelagic,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Scomberomorus regalis,NA,NA,Scombridae,NA,NA,NA,NA,183,Pelagic,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Scorpaena grandicornis,NA,NA,Scorpaenidae,NA,NA,NA,NA,30,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Scorpaena orgila,NA,NA,Scorpaenidae,NA,NA,NA,NA,38,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Scorpaena plumieri,NA,NA,Scorpaenidae,NA,NA,NA,NA,45,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Scorpaenodes caribbaeus,NA,NA,Scorpaenidae,NA,NA,NA,NA,12,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Scorpaenodes kelloggi,NA,NA,Scorpaenidae,NA,NA,NA,NA,5,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Scorpaenopsis oxycephala,NA,NA,Scorpaenidae,NA,NA,NA,NA,36,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Scuticaria tigrinus,NA,NA,Muraenidae,NA,NA,NA,NA,120,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Serranus baldwini,NA,NA,Serranidae,NA,NA,NA,NA,12,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Serranus tabacarius,NA,NA,Serranidae,NA,NA,NA,NA,22,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Serranus tigrinus,NA,NA,Serranidae,NA,NA,NA,NA,29,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Serranus tigrinus ,NA,NA,Serranidae,NA,NA,NA,NA,101,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Serranus tortugarum,NA,NA,Serranidae,NA,NA,NA,NA,8,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Siganus corallinus,NA,NA,Siganidae,NA,NA,NA,NA,35,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Siganus doliatus,NA,NA,Siganidae,NA,NA,NA,NA,25,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Siganus guttatus,NA,NA,Siganidae,NA,NA,NA,NA,42,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Siganus lineatus,NA,NA,siganidae,NA,NA,NA,NA,43,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Siganus puelloides,NA,NA,Siganidae,NA,NA,NA,NA,31,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Siganus puellus,NA,NA,Siganidae,NA,NA,NA,Omni,38,Reef,1,Grazer,,NA,OTH_HERB,OTH_HERB,NA,NA,H,0,,,,
Siganus stellatus,NA,NA,Siganidae,NA,NA,NA,NA,40,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Siganus sutor,NA,NA,Siganidae,NA,NA,NA,NA,45,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Siganus uspi,NA,NA,Siganidae,NA,NA,NA,NA,24,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Siganus vulpinus,NA,NA,Siganidae,NA,NA,NA,Herb,25,Reef,1,Grazer,,NA,OTH_HERB,OTH_HERB,NA,NA,H,0,,,,
Sparisoma atomarium,NA,NA,Scaridae,NA,NA,NA,NA,25,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Sparisoma aurofrenatum,NA,NA,Scaridae,NA,NA,NA,NA,28,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Sparisoma chrysopterum,NA,NA,Scaridae,NA,NA,NA,NA,46,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Sparisoma rubripinne,NA,NA,Scaridae,NA,NA,NA,NA,47.8,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Sparisoma rubripinne,NA,NA,Scaridae,NA,NA,NA,NA,47.8,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Sparisoma viride,NA,NA,Scaridae,NA,NA,NA,NA,64,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Sphoeroides sphengleri,NA,NA,Tetraodontidae,NA,NA,NA,NA,30,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Sphyraena picudilla,NA,NA,Sphyraenidae,NA,NA,NA,NA,61,Pelagic,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Starksia nanodes,NA,NA,Labrisomidae,NA,NA,NA,NA,2.2,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Stegastes adustus,NA,NA,Pomacentridae,NA,NA,NA,NA,15,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Stegastes apicalis,NA,NA,Pomacentridae,NA,NA,NA,NA,15,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Stegastes diencaeus,NA,NA,Pomacentridae,NA,NA,NA,NA,12.5,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Stegastes emeryi,NA,NA,Pomacentridae,NA,NA,NA,NA,10,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Stegastes leucostictus,NA,NA,Pomacentridae,NA,NA,NA,NA,10,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Stegastes partitus,NA,NA,Pomacentridae,NA,NA,NA,NA,10,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Stegastes planifrons,NA,NA,Pomacentridae,NA,NA,NA,NA,13,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Stegastes variabilis,NA,NA,Pomacentridae,NA,NA,NA,NA,12.5,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Stethojulis albovittata,NA,NA,Labridae,NA,NA,NA,NA,14,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Strongylura notata,NA,NA,Belonidae,NA,NA,NA,NA,61,Pelagic,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Sufflamen fraenatus,NA,NA,Balistidae,NA,NA,NA,NA,38,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Sufflamen frenatus,NA,NA,Balistidae,NA,NA,NA,NA,38,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Syacium micrurum,NA,NA,Paralichthyidae,NA,NA,NA,NA,40,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Synchiropus stellatus,NA,NA,Callionymidae,NA,NA,NA,NA,7.5,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Synodus capricornis,NA,NA,Synodontidae,NA,NA,NA,NA,21,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Synodus intermedius,NA,NA,Synodontidae,NA,NA,NA,NA,46,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Synodus lobeli,NA,NA,Synodontidae,NA,NA,NA,NA,23.4,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Synodus saurus,NA,NA,Synodontidae,NA,NA,NA,NA,40,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Synodus sp,NA,NA,Synodontidae,NA,NA,NA,NA,40,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Synodus sp,NA,NA,Synodontidae,NA,NA,NA,NA,40,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Thalassoma bifasciatum,NA,NA,Labridae,NA,NA,NA,NA,25,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Thalassoma hebraicum,NA,NA,Labridae,NA,NA,NA,NA,23,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Thalassoma heiseri,NA,NA,Labridae,NA,NA,NA,NA,11.6,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Thalassoma jansenii,NA,NA,Labridae,NA,NA,NA,NA,20,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Thalassoma jansenii,NA,NA,Labridae,NA,NA,NA,NA,20,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Trachinocephalus myops,NA,NA,Synodontidae,NA,NA,NA,NA,40,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Trachinotus bailloni,NA,NA,Carangidae,NA,NA,NA,NA,60,Pelagic,0,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Trachinotus bailloni,NA,NA,Carangidae,NA,NA,NA,NA,60,Pelagic,0,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Trachinotus falcatus,NA,NA,Carangidae,NA,NA,NA,NA,122,Pelagic,0,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Trachinotus sp,NA,NA,Carangidae,NA,NA,NA,NA,120,Pelagic,0,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Trachinotus sp,NA,NA,Carangidae,NA,NA,NA,NA,120,Pelagic,0,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
UNKNOWN UNKNOWN,NA,NA,Labridae,NA,NA,NA,NA,0,Unk,0,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
UNKNOWN UNKNOWN,NA,NA,Labridae,NA,NA,NA,NA,0,Unk,0,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
UNKNOWN UNKNOWN,NA,NA,Labridae,NA,NA,NA,NA,0,Unk,0,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
UNKNOWN UNKNOWN,NA,NA,Labridae,NA,NA,NA,NA,0,Unk,0,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Upeneus arge,NA,NA,Mullidae,NA,NA,NA,NA,36.5,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Upeneus moluccensis,NA,NA,Mullidae,NA,NA,NA,NA,22,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Upeneus moluccensis,NA,NA,Mullidae,NA,NA,NA,NA,22,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Urolophus jamaicensis,NA,NA,Urolophidae,NA,NA,NA,NA,76,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Xyrichtys aneitensis,NA,NA,Labridae,NA,NA,NA,NA,24,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Xyrichtys baldwini,NA,NA,Labridae,NA,NA,NA,NA,20,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Xyrichtys pavo,NA,NA,Labridae,NA,NA,NA,NA,41,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Xyrichtys umbrilatus,NA,NA,Labridae,NA,NA,NA,NA,17.5,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Zebrasoma desjardinii,NA,NA,Acanthuridae,NA,NA,NA,NA,40,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Zebrasoma sp,NA,NA,Acanthuridae,NA,NA,NA,NA,40,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,Diurnal planktivore,NA,NA,NA,NA,NA,NA,,,,
,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,Diurnal planktivore,NA,NA,NA,NA,NA,NA,,,,
Acanthuridae sp.,NA,NA,NA,NA,NA,Herbivore,NA,NA,NA,NA,NA,,Grazer,NA,NA,40.4,3,NA,NA,,,,
Acanthurus sp.,NA,NA,NA,NA,NA,Herbivore,NA,NA,NA,NA,NA,,Grazer,NA,NA,34.9,3,NA,NA,,,,
Anampses sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Invertivore,NA,NA,20,2,NA,NA,,,,
Anthias sp.,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,NA,,Diurnal planktivore,NA,NA,14,3,NA,NA,,,,
Apogon sp.,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,NA,,Nocturnal planktivore,NA,NA,16,3,NA,NA,,,,
Apogonidae sp.,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,NA,,Nocturnal planktivore,NA,NA,12.5,3,NA,NA,,,,
Balistidae sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Invertivore,NA,NA,38.9,1,NA,NA,,,,
Blenniidae sp.,NA,NA,NA,NA,NA,Herbivore,NA,NA,NA,NA,NA,,Grazer,NA,NA,10.4,1,NA,NA,,,,
Cephalopholis sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Diurnal piscivore,NA,NA,60,1,NA,NA,,,,
Cheilinus sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Invertivore,NA,NA,71.8,1,NA,NA,,,,
Cirrhilabrus sp.,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,NA,,Diurnal planktivore,NA,NA,15,4,NA,NA,,,,
Ctenochaetus sp. ,NA,NA,NA,NA,NA,Detritivore,NA,NA,NA,NA,NA,,Detritivore,NA,NA,30,3,NA,NA,,,,
Dasyatidae sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Invertivore,NA,NA,11.6,4,NA,NA,,,,
Epinephelus sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Diurnal piscivore,NA,NA,128,1,NA,NA,,,,
Gobiidae sp.,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,NA,,Diurnal planktivore,NA,NA,7.2,3,NA,NA,,,,
Gymnothorax sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Nocturnal piscivore,NA,NA,300,1,NA,NA,,,,
Halichoeres sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Invertivore,NA,NA,19.3,3,NA,NA,,,,
Heterocongrinae sp.,NA,NA,NA,NA,NA,Plantivore,NA,NA,NA,NA,NA,,Diurnal planktivore,NA,NA,66.7,4,NA,NA,,,,
Kyphosus sp.,NA,NA,NA,NA,NA,Herbivore,NA,NA,NA,NA,NA,,Browser,NA,NA,60.4,4,NA,NA,,,,
Labridae sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Invertivore,NA,NA,26.8,3,NA,NA,,,,
Lethrinus sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Generalist carnivore,NA,NA,86,4,NA,NA,,,,
Microdesmidae sp.,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,NA,,Diurnal planktivore,NA,NA,9.7,3,NA,NA,,,,
Monacanthidae sp.,NA,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA,NA,,Benthic omnivore,NA,NA,21.2,2,NA,NA,,,,
Mullidae sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Invertivore,NA,NA,39,3,NA,NA,,,,
Muraenidae sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Nocturnal piscivore,NA,NA,149.2,1,NA,NA,,,,
Myripristinae sp.,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,NA,,Nocturnal planktivore,NA,NA,24,3,NA,NA,,,,
Neoniphon sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Invertivore,NA,NA,35,3,NA,NA,,,,
Ostraciidae sp.,NA,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA,NA,,Benthic omnivore,NA,NA,25.8,1,NA,NA,,,,
Oxycheilinus sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Diurnal piscivore,NA,NA,27.8,1,NA,NA,,,,
Pervagor sp.,NA,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA,NA,,Benthic omnivore,NA,NA,18,2,NA,NA,,,,
Pinguipedidae sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Generalist carnivore,NA,NA,18.4,1,NA,NA,,,,
Pomacentridae sp.,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,NA,,Diurnal planktivore,NA,NA,11.4,4,NA,NA,,,,
Priacanthus sp.,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,NA,,Nocturnal planktivore,NA,NA,38,1,NA,NA,,,,
Sargocentron sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Invertivore,NA,NA,50,3,NA,NA,,,,
Scaridae sp.,NA,NA,NA,NA,NA,Herbivore,NA,NA,NA,NA,NA,,Scraper,NA,NA,57.3,3,NA,NA,,,,
Scarus sp.,NA,NA,NA,NA,NA,Herbivore,NA,NA,NA,NA,NA,,Scraper,NA,NA,130,3,NA,NA,,,,
Scorpaenopsis sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Generalist carnivore,NA,NA,30,1,NA,NA,,,,
Serranidae sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Diurnal piscivore,NA,NA,45.2,1,NA,NA,,,,
Sphyrnidae sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Nocturnal piscivore,NA,NA,150,4,NA,NA,,,,
Stegastes sp.,NA,NA,NA,NA,NA,Herbivore,NA,NA,NA,NA,NA,,Grazer,NA,NA,15.5,3,NA,NA,,,,
Syngnathidae sp.,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,NA,,Diurnal planktivore,NA,NA,9.5,1,NA,NA,,,,
Tetraodontidae sp.,NA,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA,NA,,Benthic omnivore,NA,NA,28.5,2,NA,NA,,,,
Thalassoma sp.,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,,Invertivore,NA,NA,17.6,3,NA,NA,,,,
Ablennes hians,NA,NA,NA,NA,NA,NA,Herb,NA,NA,NA,NA,,NA,OTH_HERB,OTH_HERB,NA,NA,H,0,,,,
Amblyeleotris steinitzi,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Amphiprion tricinctus,NA,NA,NA,NA,NA,NA,Herb,NA,NA,NA,NA,,NA,OTH_HERB,OTH_HERB,NA,NA,H,0,,,,
Anampses geographicus,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Apogon taeniopterus,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Apogon trimaculatus,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Apogonichthys perdix,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Archamia fucata,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Atule mate,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Canthidermis maculata,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Chromis atripes,NA,NA,NA,NA,NA,NA,Herb,NA,NA,NA,NA,,NA,OTH_HERB,OTH_HERB,NA,NA,H,0,,,,
Cirrhilabrus balteatus,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Cirrhilabrus luteovittatus,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Cirripectes sebae,NA,NA,NA,NA,NA,NA,Herb,NA,NA,NA,NA,,NA,OTH_HERB,OTH_HERB,NA,NA,H,0,,,,
Ctenogobiops pomastictus,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Ecsenius monoculus,NA,NA,NA,NA,NA,NA,Herb,NA,NA,NA,NA,,NA,OTH_HERB,OTH_HERB,NA,NA,H,0,,,,
Istiblennius zebra,NA,NA,NA,NA,NA,NA,Herb,NA,NA,NA,NA,,NA,OTH_HERB,OTH_HERB,NA,NA,H,0,,,,
Kyphosidae sp,NA,NA,NA,NA,NA,NA,Herb,NA,NA,NA,NA,,NA,B ,B ,NA,NA,H,0,,,,
Liza vaigiensis,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Luzonichthys earlei,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Luzonichthys waitei,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Mugil cephalus,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Platax boersi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,B ,B ,NA,NA,NA,0,,,,
Platax boersii,NA,NA,NA,NA,NA,NA,LowCarn,NA,NA,NA,NA,,NA,B ,B ,NA,NA,Om,0,,,,
Platax pinnatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,B ,B ,NA,NA,NA,0,,,,
Pomacentrus samoa,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
